Catcode,Project Category,Catorder
M5200,EXCLUDED,N15
M5300,EXCLUDED,N15
M6000,EXCLUDED,N15
M7000,EXCLUDED,N15
M7100,EXCLUDED,N15
M7200,EXCLUDED,N15
M7300,EXCLUDED,N15
M8000,EXCLUDED,N16
M9000,EXCLUDED,N15
M9100,EXCLUDED,N15
M9200,EXCLUDED,N15
M9300,EXCLUDED,N15
T0000,Energy & Transportation,M06
T1000,Energy & Transportation,M01
T1100,Energy & Transportation,M01
T1200,Energy & Transportation,M01
T1300,Energy & Transportation,M01
T1400,Energy & Transportation,M01
T1500,Energy & Transportation,M01
T1600,Energy & Transportation,M01
T1700,Energy & Transportation,M01
T2000,Energy & Transportation,M02
T2100,Energy & Transportation,M02
T2200,Energy & Transportation,M02
T2300,Energy & Transportation,M02
T2310,Energy & Transportation,M02
T2400,Energy & Transportation,M02
T2500,Energy & Transportation,M02
T3000,Energy & Transportation,M03
T3100,Energy & Transportation,M03
T3200,Energy & Transportation,M03
T4000,Energy & Transportation,M06
T4100,Energy & Transportation,M06
T4200,Energy & Transportation,M06
T5000,Energy & Transportation,M04
T5100,Energy & Transportation,M04
T5200,Energy & Transportation,M04
T5300,Energy & Transportation,M04
T6000,Energy & Transportation,M05
T6100,Energy & Transportation,M05
T6200,Energy & Transportation,M05
T6250,Energy & Transportation,M05
T7000,Energy & Transportation,M06
T7100,Energy & Transportation,M01
T7200,EXCLUDED,N12
T8000,Energy & Transportation,M06
T8100,Energy & Transportation,M06
T8200,Energy & Transportation,M06
T8300,Energy & Transportation,M06
T8400,Energy & Transportation,M06
T9000,EXCLUDED,N08
T9100,EXCLUDED,N08
T9300,EXCLUDED,N08
T9400,EXCLUDED,N08
X0000,EXCLUDED,W07
X1200,EXCLUDED,W06
X3000,EXCLUDED,W03
X3100,EXCLUDED,W03
X3200,EXCLUDED,W03
X3300,EXCLUDED,W03
X3500,EXCLUDED,W04
X3700,EXCLUDED,W03
X4000,EXCLUDED,W02
X4100,EXCLUDED,W02
X4110,EXCLUDED,W02
X4200,EXCLUDED,W02
X5000,EXCLUDED,W07
X7000,EXCLUDED,W05
X8000,EXCLUDED,W07
X9000,EXCLUDED,W07
Y0000,EXCLUDED,Y00
Y1000,EXCLUDED,Y01
Y2000,EXCLUDED,Y02
Y3000,EXCLUDED,Y03
Y4000,EXCLUDED,Y04
Z1000,EXCLUDED,Q16
Z1100,EXCLUDED,Q16
Z1200,EXCLUDED,Q16
Z1300,EXCLUDED,Q16
Z1400,EXCLUDED,Q16
Z4100,EXCLUDED,Z04
Z4200,EXCLUDED,Z04
Z4300,EXCLUDED,Z04
Z4400,EXCLUDED,Z04
Z4500,EXCLUDED,Z04
Z5000,EXCLUDED,Z02
Z5100,EXCLUDED,Z02
Z5200,EXCLUDED,Z02
Z5300,EXCLUDED,Z02
Z9000,EXCLUDED,Z07
Z9100,EXCLUDED,Z08
Z9500,EXCLUDED,Z09
Z9600,EXCLUDED,Z09
Z9700,EXCLUDED,Z09
Z9800,EXCLUDED,Z09
Z9999,EXCLUDED,Z09
